시도별(1),업체수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),시설수 (개),처리량 (톤),설치비 (백만원)
합계,425,118914,8,830,8837332,205118
서울,1,60,10,1,7880,45
부산,1,1,1,1,50,70
대구,2,10,12,3,975,5612
인천,8,758,6,24,46653,10916
광주,30,1140,8,37,80610,2394
대전,9,178,12,20,10386,2338
울산,9,1321,9,13,328847,8421
세종,2,3,24,2,31,9
경기,67,2500,10,167,240859,21503
강원,31,7502,9,50,136524,4588
충북,95,21350,7,172,14040,6253
충남,91,35751,8,202,6958094,120928
전북,-,-,-,-,-,-
전남,4,13223,11,5,704448,1423
경북,19,434,8,51,50243,1498
경남,29,3191,10,53,234838,10663
제주,27,31492,8,29,22854,8457
