시도별(1),업체수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),시설수 (개),처리량 (톤),설치비 (백만원)
합계,418,211111,9,766,7959151,208781
서울,1,60,7,1,4325,45
부산,1,1,1,1,50,70
대구,4,175,13,6,10823,9262
인천,8,400,6,24,8529,10916
광주,29,1139,8,35,91054,2386
대전,9,177,12,20,10379,2338
울산,9,1321,9,13,76257,8421
세종,2,4,24,2,735,9
경기,71,2398,10,175,282965,22305
강원,26,104755,9,33,96191,4088
충북,96,21450,7,173,48403,6273
충남,83,30302,8,155,6264929,120566
전북,3,680,8,3,1630,6
전남,4,13223,11,5,750428,1423
경북,17,360,8,39,39932,1563
경남,28,3176,9,52,257786,10653
제주,27,31492,8,29,14734,8457
