,시도,"생활폐기물 관리구역(면적, km2)","생활폐기물 관리구역(인구, 명)",시설 설치비,수집·운반등 처리비,매립,소각,재활용,처리 총량
0,합계,98822,52889715,190718651,4059324735,7240.0,13318.1,32931.4,53489.5
1,서울,605,10093209,311628,783780840,799.3,2237.8,6180.2,9217.3
2,부산,770,3520306,2494933,261553129,260.2,416.1,2666.9,3343.2
3,대구,884,2501673,11208500,152031551,428.4,250.0,2217.0,2895.4
4,인천,1047,3010209,895680,195637135,251.5,692.2,1336.4,2280.1
5,광주,501,1482576,1598671,79146481,157.7,26.3,1085.1,1269.1
6,대전,488,1524595,0,67723631,381.3,225.1,1057.6,1664.0
7,울산,1047,1185645,0,87435003,224.4,462.3,823.1,1509.8
8,세종,465,284225,0,32506751,28.7,76.9,136.3,241.9
9,경기,10186,13247079,7099030,865520740,835.0,3694.7,7075.6,11605.3
10,강원,15771,1563101,15712888,169276977,627.6,416.6,1289.3,2333.5
11,충북,7392,1632167,865731,130029537,336.1,657.4,1039.4,2032.9
12,충남,8202,2175571,5396816,219670495,242.3,1067.8,1408.2,2718.3
13,전북,8054,1878602,5807573,161988391,369.9,383.5,1162.8,1916.2
14,전남,12117,1912485,24214647,162226005,657.4,371.1,954.5,1983.0
15,경북,18962,2747707,26730071,229263235,750.1,892.1,1521.3,3163.5
16,경남,10480,3451793,14053579,360881417,645.4,1128.8,2229.7,4003.9
17,제주,1850,678772,74328904,100653417,244.7,319.4,748.0,1312.1
