,TIME 시점,A30 시도별,A30 시도별.1,A30 시도별.2,A30 시도별.3,A30 시도별.4,A30 시도별.5,A30 시도별.6,A30 시도별.7,A30 시도별.8,A30 시도별.9,A30 시도별.10,A30 시도별.11,A30 시도별.12,A30 시도별.13,A30 시도별.14,A30 시도별.15,A30 시도별.16,A30 시도별.17,A30 시도별.18,A30 시도별.19,A30 시도별.20,A30 시도별.21,A30 시도별.22,A30 시도별.23,A30 시도별.24,A30 시도별.25,A30 시도별.26,A30 시도별.27,A30 시도별.28,A30 시도별.29,A30 시도별.30,A30 시도별.31,A30 시도별.32,A30 시도별.33
76,2020. 05. 17,5,735,0,144,1,6870,0,124,0,30,1,44,0,45,0,47,0,721,0,55,0,56,0,144,0,20,0,18,0,1368,2,121,0,14
77,2020. 05. 18,1,736,0,144,1,6871,0,124,0,30,0,44,0,45,0,47,3,724,0,55,3,59,0,144,0,20,0,18,0,1368,0,121,0,14
78,2020. 05. 19,6,742,0,144,0,6871,2,126,0,30,0,44,4,49,0,47,1,725,0,55,0,59,0,144,0,20,0,18,0,1368,0,121,0,14
79,2020. 05. 20,10,752,0,144,1,6872,8,134,0,30,0,44,0,49,0,47,10,735,0,55,0,59,0,144,1,21,0,18,0,1368,0,121,0,14
80,2020. 05. 21,4,756,0,144,0,6872,6,140,0,30,0,44,0,49,0,47,0,735,0,55,0,59,1,145,0,21,0,18,0,1368,0,121,0,14
81,2020. 05. 22,2,758,0,144,0,6872,1,141,0,30,0,44,1,50,0,47,6,741,0,55,0,59,0,145,0,21,0,18,2,1370,1,122,0,14
82,2020. 05. 23,4,762,0,144,1,6873,0,141,0,30,1,45,0,50,0,47,13,754,0,55,0,59,0,145,0,21,0,18,0,1370,1,123,0,14
83,2020. 05. 24,6,768,0,144,0,6873,2,143,0,30,0,45,0,50,0,47,6,760,1,56,0,59,0,145,0,21,0,18,6,1376,0,123,0,14
84,2020. 05. 25,6,774,0,144,1,6874,1,144,0,30,0,45,0,50,0,47,6,766,0,56,0,59,0,145,0,21,0,18,1,1377,0,123,0,14
85,2020. 05. 26,9,783,0,144,1,6875,3,147,0,30,0,45,0,50,0,47,2,768,0,56,1,60,0,145,0,21,0,18,1,1378,0,123,0,14
86,2020. 05. 27,19,802,0,144,3,6878,11,158,0,30,0,45,0,50,0,47,6,774,0,56,0,60,0,145,0,21,0,18,0,1378,0,123,0,14
87,2020. 05. 28,24,826,1,145,2,6880,22,180,0,30,0,45,0,50,0,47,21,795,0,56,0,60,1,146,0,21,0,18,1,1379,0,123,0,14
88,2020. 05. 29,20,846,0,145,0,6880,18,198,0,30,0,45,0,50,0,47,20,815,0,56,0,60,0,146,0,21,0,18,0,1379,0,123,0,14
89,2020. 05. 30,9,855,1,146,2,6882,5,203,2,32,0,45,0,50,0,47,13,828,1,57,0,60,0,146,0,21,1,19,0,1379,0,123,0,14
90,2020. 05. 31,6,861,1,147,1,6883,3,206,0,32,1,46,2,52,0,47,12,840,0,57,0,60,0,146,0,21,0,19,0,1379,0,123,1,15
91,2020. 06. 01,1,862,0,147,1,6884,18,224,0,32,0,46,0,52,0,47,12,852,0,57,0,60,0,146,0,21,1,20,0,1379,0,123,0,15
92,2020. 06. 02,14,876,0,147,0,6884,8,232,0,32,0,46,0,52,0,47,15,867,0,57,0,60,0,146,0,21,0,20,0,1379,0,123,0,15
93,2020. 06. 03,19,895,0,147,1,6885,17,249,0,32,0,46,0,52,0,47,12,879,0,57,0,60,0,146,0,21,0,20,0,1379,0,123,0,15
94,2020. 06. 04,14,909,0,147,0,6885,7,256,0,32,0,46,0,52,0,47,15,894,0,57,0,60,0,146,0,21,0,20,1,1380,0,123,0,15
95,2020. 06. 05,15,924,0,147,1,6886,6,262,0,32,0,46,0,52,0,47,13,907,0,57,0,60,1,147,0,21,0,20,2,1382,0,123,0,15
96,2020. 06. 06,23,947,0,147,0,6886,11,273,0,32,0,46,0,52,0,47,8,915,1,58,0,60,1,148,0,21,0,20,1,1383,1,124,0,15
97,2020. 06. 07,27,974,0,147,1,6887,6,279,0,32,0,46,1,53,0,47,19,934,0,58,1,61,0,148,0,21,0,20,0,1383,0,124,0,15
98,2020. 06. 08,22,996,0,147,1,6888,4,283,0,32,0,46,0,53,0,47,8,942,0,58,0,61,0,148,0,21,0,20,0,1383,0,124,0,15
99,2020. 06. 09,19,1015,0,147,0,6888,3,286,0,32,0,46,0,53,0,47,13,955,0,58,0,61,2,150,0,21,0,20,0,1383,1,125,0,15
100,2020. 06. 10,12,1027,0,147,0,6888,8,294,0,32,0,46,0,53,0,47,21,976,1,59,0,61,0,150,0,21,0,20,0,1383,2,127,0,15
101,2020. 06. 11,21,1048,0,147,0,6888,6,300,0,32,0,46,0,53,0,47,16,992,0,59,0,61,0,150,0,21,0,20,0,1383,0,127,0,15
102,2020. 06. 12,25,1073,0,147,1,6889,1,301,0,32,0,46,0,53,0,47,19,1011,0,59,0,61,0,150,0,21,0,20,0,1383,0,127,0,15
103,2020. 06. 13,29,1101,0,147,3,6892,1,302,0,32,0,46,0,53,0,47,14,1025,0,59,0,61,1,151,0,21,0,20,0,1383,0,127,0,15
104,2020. 06. 14,12,1113,0,147,2,6894,8,310,0,32,0,46,0,53,0,47,10,1035,1,60,0,61,0,151,0,21,0,20,0,1383,0,127,0,15
105,2020. 06. 15,7,1120,0,147,0,6894,8,318,0,32,0,46,0,53,0,47,10,1045,0,60,0,61,2,152,0,21,0,20,0,1383,3,130,0,15
106,2020. 06. 16,12,1132,1,148,0,6894,2,320,0,32,3,49,0,53,0,47,5,1050,0,60,0,61,0,152,0,21,0,20,0,1383,2,132,0,15
107,2020. 06. 17,13,1145,0,148,1,6895,2,322,0,32,5,54,0,53,0,47,13,1063,0,60,0,61,1,153,0,21,0,20,0,1383,0,132,1,16
108,2020. 06. 18,25,1170,0,148,1,6896,1,323,0,32,7,61,0,53,1,48,16,1079,0,60,0,61,3,156,1,22,0,20,0,1383,0,132,0,16
109,2020. 06. 19,18,1188,0,148,0,6896,0,323,0,32,6,67,0,53,0,48,11,1090,0,60,0,61,0,156,0,22,0,20,0,1383,0,132,3,19
110,2020. 06. 20,14,1202,2,150,2,6898,5,328,0,32,5,72,0,53,0,48,17,1107,0,60,0,61,2,158,1,23,0,20,1,1384,0,132,0,19
111,2020. 06. 21,17,1219,0,150,1,6899,0,328,1,33,10,82,0,53,1,49,10,1117,2,62,0,61,1,159,0,23,0,20,0,1384,1,133,0,19
112,2020. 06. 22,5,1224,0,150,1,6900,1,329,0,33,0,82,0,53,0,49,6,1123,0,62,0,61,2,161,1,24,0,20,1,1385,0,133,0,19
113,2020. 06. 23,6,1230,0,150,1,6901,1,330,0,33,4,86,0,53,0,49,7,1130,0,62,1,62,0,161,0,24,0,20,0,1385,0,133,0,19
114,2020. 06. 24,11,1241,2,152,2,6903,3,333,0,33,8,94,2,55,0,49,7,1137,1,63,0,62,1,162,1,25,0,20,1,1386,0,133,0,19
115,2020. 06. 25,9,1250,0,152,0,6903,1,334,0,33,4,98,0,55,0,49,9,1146,0,63,0,62,1,163,0,25,0,20,0,1386,0,133,0,19
116,2020. 06. 26,17,1267,0,152,0,6903,2,336,0,33,4,102,0,55,0,49,4,1150,1,64,0,62,3,166,0,25,0,20,1,1387,0,133,0,19
117,2020. 06. 27,17,1284,0,152,1,6904,1,337,0,33,2,104,0,55,0,49,17,1167,0,64,1,63,0,166,1,26,0,20,0,1387,0,133,0,19
