,TIME 시점,A30 시도별,A30 시도별.1,A30 시도별.2,A30 시도별.3,A30 시도별.4,A30 시도별.5,A30 시도별.6,A30 시도별.7,A30 시도별.8,A30 시도별.9,A30 시도별.10,A30 시도별.11,A30 시도별.12,A30 시도별.13,A30 시도별.14,A30 시도별.15,A30 시도별.16,A30 시도별.17,A30 시도별.18,A30 시도별.19,A30 시도별.20,A30 시도별.21,A30 시도별.22,A30 시도별.23,A30 시도별.24,A30 시도별.25,A30 시도별.26,A30 시도별.27,A30 시도별.28,A30 시도별.29,A30 시도별.30,A30 시도별.31,A30 시도별.32,A30 시도별.33
152,2020. 08. 01,2,1602,1,172,0,6940,1,384,0,204,0,166,0,59,0,50,7,1553,0,74,0,73,0,190,0,39,0,38,1,1402,0,159,0,26
153,2020. 08. 02,5,1607,1,173,2,6942,0,384,1,205,0,166,0,59,0,50,3,1556,0,74,0,73,0,190,0,39,0,38,1,1403,0,159,0,26
154,2020. 08. 03,5,1612,0,173,0,6942,0,384,0,205,0,166,0,59,0,50,1,1557,0,74,0,73,0,190,0,39,0,38,1,1404,2,161,0,26
155,2020. 08. 04,9,1621,1,174,0,6942,1,385,2,207,0,166,0,59,0,50,11,1568,0,74,1,74,0,190,0,39,1,39,1,1405,0,161,0,26
156,2020. 08. 05,6,1627,0,174,1,6943,1,386,1,208,0,166,0,59,0,50,7,1575,1,75,6,80,0,190,0,39,0,39,0,1405,4,165,0,26
157,2020. 08. 06,9,1636,3,177,0,6943,0,386,0,208,0,166,0,59,0,50,13,1588,2,77,1,81,2,192,0,39,2,41,4,1409,1,166,0,26
158,2020. 08. 07,9,1645,0,177,0,6943,0,386,0,208,0,166,0,59,0,50,5,1593,0,77,0,81,0,192,0,39,0,41,1,1410,0,166,0,26
159,2020. 08. 08,17,1662,0,177,1,6944,2,388,0,208,0,166,0,59,0,50,18,1611,0,77,0,81,0,192,0,39,0,41,0,1410,0,166,0,26
160,2020. 08. 09,13,1675,0,177,1,6945,1,389,2,210,0,166,1,60,0,50,15,1626,0,77,1,82,1,193,0,39,0,41,0,1410,0,166,0,26
161,2020. 08. 10,13,1688,1,178,0,6945,0,389,0,210,0,166,0,60,0,50,6,1632,0,77,0,82,0,193,0,39,1,42,1,1411,0,166,0,26
162,2020. 08. 11,6,1694,9,187,0,6945,0,389,0,210,0,166,0,60,0,50,13,1645,0,77,0,82,2,195,1,40,0,42,0,1411,0,166,0,26
163,2020. 08. 12,15,1709,4,191,0,6945,0,389,6,216,1,167,0,60,0,50,19,1664,0,77,0,82,1,196,0,40,0,42,0,1411,0,166,0,26
164,2020. 08. 13,26,1735,2,193,1,6946,0,389,2,218,0,167,1,61,0,50,17,1681,0,77,0,82,1,197,2,42,0,42,0,1411,1,167,0,26
165,2020. 08. 14,32,1767,5,198,0,6946,4,393,2,220,0,167,1,62,0,50,47,1728,1,78,0,82,3,200,0,42,0,42,1,1412,0,167,0,26
166,2020. 08. 15,74,1841,3,201,0,6946,6,399,1,221,1,168,0,62,0,50,72,1800,3,81,0,82,2,202,1,43,0,42,0,1412,1,168,0,26
167,2020. 08. 16,146,1987,7,208,1,6947,9,408,7,228,0,168,3,65,0,50,98,1898,0,81,1,83,5,207,0,43,0,42,0,1412,2,170,0,26
168,2020. 08. 17,90,2077,7,215,1,6948,7,415,7,235,2,170,0,65,0,50,70,1968,1,82,3,86,4,211,1,44,0,42,2,1414,0,170,0,26
169,2020. 08. 18,132,2209,7,222,6,6954,18,433,4,239,0,170,3,68,0,50,52,2020,2,84,1,87,5,216,7,51,0,42,3,1417,0,170,0,26
170,2020. 08. 19,151,2360,9,231,2,6956,8,441,6,245,0,170,0,68,2,52,99,2119,6,90,2,89,3,219,1,52,2,44,3,1420,1,171,0,26
171,2020. 08. 20,135,2495,15,246,3,6959,10,451,1,246,8,178,0,68,1,53,85,2204,5,95,1,90,5,224,6,58,3,47,5,1425,3,174,0,26
