시도(1),시설수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),설치비 (백만원),연간유지관리비 (백만원),관리인원 (명),에너지이용실태 (Gcal)
시도(1),소계,소계,소계,소계,소계,소계,소계,소계
합계,178,17124,21,4563156,915836,527869,3735,9379828
서울,5,2898,24,745654,0,66668,315,1589205
부산,2,510,24,155101,20542,13839,74,350998
대구,1,480,24,89394,8201,8048,48,194512
인천,9,998,10,269884,76805,22548,106,575446
광주,-,-,-,-,-,-,-,-
대전,1,320,24,88599,21508,9624,42,228518
울산,1,650,24,179823,44822,7678,66,375495
세종,1,45,24,12986,6260,2916,21,23604
경기,26,5084,24,1297414,237262,168791,1075,2898305
강원,15,577,23,147062,54982,23018,225,178709
충북,11,709,21,213730,80480,23279,209,459793
충남,10,1081,24,319475,58828,29092,225,509998
전북,3,612,24,166028,23311,13531,100,424274
전남,53,500,11,120839,59218,23560,347,119583
경북,18,830,21,251101,90454,36342,301,438675
경남,17,1554,24,439041,106318,62173,469,889707
제주,5,276,14,67025,26845,16762,112,123006
