시도(1),매립지수 (개소),총매립지 면적 (m²),총매립 용량 (m³),기매립량(전년도 매립량 포함) (m³),잔여매립가능량 (m³),매립량 (m³),설치비 (백만원),연간유지관리비 (백만원),매립지 관리인원 (명)
합 계,220,26960516,483414496,244543291,238871205,7477102,255853,1478493,1388
부산,1,747922,24494000,14963646,9530354,291432,0,4363,31
대구,1,853400,32378541,12291484,20087057,300849,0,7832,54
인천,5,15418818,289347381,135686619,153660762,3400695,0,426271,253
광주,1,337860,9480000,2656795,6823205,169010,0,3134,32
대전,1,695877,8762000,6692071,2069929,305002,0,5470,46
울산,2,360276,7064656,4888492,2176164,197144,71065,911,16
세종,2,27818,296592,59033,237559,15754,5500,284,3
경기,9,571473,8285336,3874846,4410490,129931,38315,815366,43
강원,24,1269628,18648568,12961104,5687464,604962,38483,27723,145
충북,13,455285,5721099,4080474,1640625,142915,18190,3437,55
충남,15,628032,7670004,4128980,3541024,125104,0,4176,57
전북,13,818063,8592899,7026275,1566624,254429,30226,3757,74
전남,62,1347703,19486918,11310434,8176484,414824,37103,12729,266
경북,35,1065049,15957782,7922513,8035269,409459,2406,10907,154
경남,27,2049254,23817908,12810865,11007043,478980,14565,136923,123
제주,9,314058,3410812,3189660,221152,236612,0,15210,36
