disyear,dismonth,disdate,disday,disquantity,disquantityrate,discount,discountrate
2020,5,15,6,1927082578,2.56,1069093,2.52
2020,5,16,7,2501582276,3.32,1401560,3.3
2020,5,17,1,2907050115,3.86,1638984,3.86
2020,5,18,2,2478636282,3.29,1283877,3.03
2020,5,19,3,2461960907,3.27,1374553,3.24
2020,5,20,4,2368794410,3.14,1364885,3.22
2020,5,21,5,2231990364,2.96,1309839,3.09
2020,5,22,6,2273792508,3.02,1302171,3.07
2020,5,23,7,2405255656,3.19,1354421,3.19
2020,5,24,1,2787689828,3.7,1575847,3.71
2020,5,25,2,2737402721,3.63,1457065,3.43
2020,5,26,3,2347665193,3.11,1337005,3.15
2020,5,27,4,2403675123,3.19,1403644,3.31
2020,5,28,5,2313031867,3.07,1371336,3.23
2020,5,29,6,2331077880,3.09,1354914,3.19
2020,5,30,7,2454105271,3.26,1381096,3.26
2020,5,31,1,2923541363,3.88,1655834,3.9
2020,6,1,2,2779622591,3.52,1488332,3.26
2020,6,2,3,2428578052,3.07,1394628,3.06
2020,6,3,4,2473337221,3.13,1458547,3.2
2020,6,4,5,2423505851,3.07,1444633,3.17
2020,6,5,6,2339563163,2.96,1356475,2.97
2020,6,6,7,2523962760,3.2,1426751,3.13
2020,6,7,1,3024400482,3.83,1711612,3.75
2020,6,8,2,2939051657,3.72,1576059,3.46
2020,6,9,3,2613807186,3.31,1510101,3.31
2020,6,10,4,2402123595,3.04,1408247,3.09
2020,6,11,5,2608450934,3.3,1548604,3.4
2020,6,12,6,2449887843,3.1,1447223,3.17
2020,6,13,7,2598670191,3.29,1471627,3.23
2020,6,14,1,3115966123,3.94,1758868,3.86
2020,6,15,2,2953621565,3.74,1618287,3.55
2020,6,16,3,2571128419,3.26,1512066,3.32
2020,6,17,4,2473898501,3.13,1500484,3.29
2020,6,18,5,2226025859,2.82,1361306,2.98
2020,6,19,6,2504085798,3.17,1503954,3.3
2020,6,20,7,2599247641,3.29,1489865,3.27
2020,6,21,1,3070543226,3.89,1757034,3.85
2020,6,22,2,2971161601,3.76,1639851,3.6
2020,6,23,3,2709475344,3.43,1598323,3.5
2020,6,24,4,2214067584,2.8,1311762,2.88
2020,6,25,5,2505531102,3.17,1529734,3.35
2020,6,26,6,2507741890,3.17,1501444,3.29
2020,6,27,7,2663938075,3.37,1542433,3.38
2020,6,28,1,3100317184,3.93,1798252,3.94
2020,6,29,2,2563909976,3.25,1407884,3.09
2020,6,30,3,2631293379,3.33,1537620,3.37
