상호명,지점명,도로명주소,경도,위도
이디야커피,YTN점,"서울특별시 중구 세종대로1길 11, (봉래동1가)",126.972536771411,37.5581964038656
이디야커피,청구역점,"서울특별시 중구 다산로 181-2, (신당동)",127.01322797033801,37.55977794065979
이디야커피,충정로역점,"서울특별시 중구 중림로 10, (중림동, 삼성사이버빌리지)",126.96451651886801,37.558693990820004
이디야에스프레소,,"서울특별시 중구 세종대로11길 26, (서소문동)",126.974563036541,37.5623047513967
이디야커피약수점,약수점,"서울특별시 중구 다산로 131, (신당동)",127.010814506672,37.555694030957106
이디야커피을지로역점,을지로역점,"서울특별시 중구 남대문로 112, (남대문로1가)",126.982997406649,37.5671712525087
이디야커피,IBK점,"서울특별시 중구 을지로 79, (을지로2가)",126.986549821175,37.566480968300205
이디야커피,오장동점,"서울특별시 중구 마른내로 109-1, (오장동)",127.000113122827,37.564605317977296
이디야커피,태평로점,"서울특별시 중구 세종대로11길 26, (서소문동)",126.974563036541,37.5623047513967
이디야커피,숍명동중앙2호점,"서울특별시 중구 명동8가길 37, (충무로2가)",126.987098355559,37.5619173907691
이디야커피,충무필동점,"서울특별시 중구 퇴계로 218-5, (필동2가)",126.996262635429,37.5613739400229
이디야커피신당중앙점,신당중앙점,"서울특별시 중구 퇴계로 455, (황학동)",127.022308959049,37.5655751267529
이디야을지로3가,,"서울특별시 중구 수표로 45, (저동2가)",126.98957642461201,37.5653265459148
이디야충무로3가,,"서울특별시 중구 퇴계로27길 31, (충무로3가)",126.99123245425899,37.5625564857212
이디야커피,북창동점,"서울특별시 중구 남대문로1길 57, (태평로2가)",126.97745429719,37.5636002978218
이디야커피,북창동점,"서울특별시 중구 남대문로1길 55, (태평로2가)",126.97742120582899,37.563536938273394
이디야커피,약수역점,서울특별시 중구 동호로10길 11,127.01161059203301,37.554547359671
이디야커피,만리동고개점,"서울특별시 중구 만리재로 175, (만리동2가, 서울역센트럴자이)",126.96459388110901,37.5547390953199
투썸플레이스,예금보험공사점,"서울특별시 중구 청계천로 30, (다동)",126.980783354365,37.568494710179294
투썸플레이스,약수역점,"서울특별시 중구 다산로 111, (신당동)",127.00979601923099,37.5539735072081
투썸플레이스명동역점,명동역점,"서울특별시 중구 퇴계로18길 13, (남산동2가)",126.98562764413299,37.560192782311795
투썸플레이스올리브영본점,올리브영본점,"서울특별시 중구 명동길 53, (명동1가)",126.98515610986901,37.564081234081
투썸플레이스,시청점,"서울특별시 중구 무교로 6, (을지로1가)",126.97945254026101,37.5664738907483
투썸플레이스,순화ING점,"서울특별시 중구 세종대로7길 37, (순화동)",126.97246780644899,37.56074575275571
CJ푸드빌투썸플레이스퀘,,"서울특별시 중구 한강대로 416, (남대문로5가)",126.973739611968,37.5554947274348
투썸플레이스,서울스퀘어점,"서울특별시 중구 한강대로 416, (남대문로5가)",126.973739611968,37.5554947274348
투썸플레이스남산트라팰리스점,남산트라팰리스점,"서울특별시 중구 소월로2길 30, (남대문로5가, 남산트라팰리스)",126.975777266013,37.5538094501409
투썸플레이스,광교점,"서울특별시 중구 청계천로 54, (삼각동)",126.983343063038,37.5683906359191
CJ푸드빌투썸플레이스,,"서울특별시 중구 소월로2길 12, (남대문로5가)",126.975958917791,37.5545949333016
투썸플레이스,신세계DF명동점,"서울특별시 중구 퇴계로 77, (충무로1가)",126.98075850417901,37.5603490764434
투썸플레이스파인애비뉴점,파인애비뉴점,"서울특별시 중구 을지로 100, (을지로2가)",126.988123320488,37.5656384754121
투썸플레이스,신세계DF명동점,"서울특별시 중구 소공로 63, (충무로1가)",126.98096592536301,37.5609095133129
투썸플레이스,제일제당사옥점,"서울특별시 중구 동호로 330, (쌍림동)",127.00323446678499,37.5639649405351
투썸플레이스대한통운사옥,대한통운사옥,"서울특별시 중구 세종대로9길 53, (서소문동)",126.972825694001,37.56188417974379
투썸플레이스,광화문역점,"서울특별시 중구 세종대로 135-9, (태평로1가)",126.97629627959499,37.56881630201929
